base-record path=sylver/move26_data/full_82.txt rows=200
base-record path=sylver/move26_data/x_sortie.txt rows=3
ROW-CHECKPOINT loaded path=sylver/move26_data/periodicity_x.cache.rowstate active_n=409 scanned_to=407 shapes=1406524 eparts=1051 evaluations=23224931838
engine base=16,26,82,88, f=59 tbar=118
ROW begin n=409 shapes=1406524 eparts=1051
EVALUATIONS count=24700000000 sid=646764 m=145 shapes=1448494 eparts=1070
EVALUATIONS count=24710000000 sid=215289 m=203 shapes=1448494 eparts=1070
EVALUATIONS count=24720000000 sid=1446484 m=245 shapes=1448494 eparts=1070
EVALUATIONS count=24730000000 sid=1446310 m=205 shapes=1448494 eparts=1070
EVALUATIONS count=24740000000 sid=1446310 m=237 shapes=1448494 eparts=1070
EVALUATIONS count=24750000000 sid=693351 m=357 shapes=1448494 eparts=1070
SHAPES count=1450000 eparts=1070 scanned_to=407
EVALUATIONS count=24760000000 sid=1444177 m=47 shapes=1450591 eparts=1070
EVALUATIONS count=24770000000 sid=1444177 m=85 shapes=1450591 eparts=1070
EVALUATIONS count=24780000000 sid=648833 m=221 shapes=1450591 eparts=1070
EVALUATIONS count=24790000000 sid=648415 m=269 shapes=1450591 eparts=1070
EVALUATIONS count=24800000000 sid=645683 m=317 shapes=1450591 eparts=1070
EVALUATIONS count=24810000000 sid=5449 m=365 shapes=1450591 eparts=1070
EVALUATIONS count=24820000000 sid=649391 m=125 shapes=1452765 eparts=1071
EVALUATIONS count=24830000000 sid=648864 m=89 shapes=1452765 eparts=1071
EVALUATIONS count=24840000000 sid=1450722 m=197 shapes=1452765 eparts=1071
EVALUATIONS count=24850000000 sid=648864 m=177 shapes=1452765 eparts=1071
EVALUATIONS count=24860000000 sid=484421 m=269 shapes=1452765 eparts=1071
EVALUATIONS count=24870000000 sid=560174 m=295 shapes=1452765 eparts=1071
EVALUATIONS count=24880000000 sid=199 m=341 shapes=1452765 eparts=1071
EVALUATIONS count=24890000000 sid=559389 m=337 shapes=1452765 eparts=1071
EVALUATIONS count=24900000000 sid=1452765 m=65 shapes=1455120 eparts=1072
EVALUATIONS count=24910000000 sid=649975 m=57 shapes=1455120 eparts=1072
